date,region,product,units_sold,revenue,quarter
2023-04-15,North,Epsilon,31,1953.0,Q2
2023-04-16,South,Alpha,78,4095.0,Q2
2023-04-17,East,Beta,103,7570.5,Q2
2023-04-18,West,Gamma,41,1722.0,Q2
2023-04-19,North,Delta,30,2835.0,Q2
2023-04-20,South,Epsilon,69,4347.0,Q2
2023-04-21,East,Alpha,58,3045.0,Q2
2023-04-22,West,Beta,44,3234.0,Q2
2023-04-23,North,Gamma,91,3822.0,Q2
2023-04-24,South,Delta,98,9261.0,Q2
2023-04-25,East,Epsilon,81,5103.0,Q2
2023-04-26,West,Alpha,38,1995.0,Q2
2023-04-27,North,Beta,97,7129.5,Q2
2023-04-28,South,Gamma,51,2142.0,Q2
2023-04-29,East,Delta,117,11056.5,Q2
2023-04-30,West,Epsilon,108,6804.0,Q2
2023-05-01,North,Alpha,109,5995.0,Q2
2023-05-02,South,Beta,17,1309.0,Q2
2023-05-03,East,Gamma,39,1716.0,Q2
2023-05-04,West,Delta,115,11385.0,Q2
2023-05-05,North,Epsilon,14,924.0,Q2
2023-05-06,South,Alpha,113,6215.0,Q2
2023-05-07,East,Beta,50,3850.0,Q2
2023-05-08,West,Gamma,61,2684.0,Q2
2023-05-09,North,Delta,44,4356.0,Q2
2023-05-10,South,Epsilon,18,1188.0,Q2
2023-05-11,East,Alpha,37,2035.0,Q2
2023-05-12,West,Beta,82,6314.0,Q2
2023-05-13,North,Gamma,101,4444.0,Q2
2023-05-14,South,Delta,50,4950.0,Q2
2023-05-15,East,Epsilon,37,2442.0,Q2
2023-05-16,West,Alpha,93,5115.0,Q2
2023-05-17,North,Beta,73,5621.0,Q2
2023-05-18,South,Gamma,60,2640.0,Q2
2023-05-19,East,Delta,92,9108.0,Q2
2023-05-20,West,Epsilon,68,4488.0,Q2
2023-05-21,North,Alpha,28,1540.0,Q2
2023-05-22,South,Beta,43,3311.0,Q2
2023-05-23,East,Gamma,27,1188.0,Q2
2023-05-24,West,Delta,41,4059.0,Q2
2023-05-25,North,Epsilon,105,6930.0,Q2
2023-05-26,South,Alpha,81,4455.0,Q2
2023-05-27,East,Beta,78,6006.0,Q2
2023-05-28,West,Gamma,43,1892.0,Q2
2023-05-29,North,Delta,105,10395.0,Q2
2023-05-30,South,Epsilon,84,5544.0,Q2
2023-05-31,East,Alpha,64,3520.0,Q2
2023-06-01,West,Beta,84,5880.0,Q2
2023-06-02,North,Gamma,61,2440.0,Q2
2023-06-03,South,Delta,56,5040.0,Q2
2023-06-04,East,Epsilon,38,2280.0,Q2
2023-06-05,West,Alpha,27,1350.0,Q2
2023-06-06,North,Beta,75,5250.0,Q2
2023-06-07,South,Gamma,73,2920.0,Q2
2023-06-08,East,Delta,21,1890.0,Q2
2023-06-09,West,Epsilon,106,6360.0,Q2
2023-06-10,North,Alpha,16,800.0,Q2
2023-06-11,South,Beta,120,8400.0,Q2
2023-06-12,East,Gamma,24,960.0,Q2
2023-06-13,West,Delta,29,2610.0,Q2
2023-06-14,North,Epsilon,90,5400.0,Q2
2023-06-15,South,Alpha,30,1500.0,Q2
2023-06-16,East,Beta,111,7770.0,Q2
2023-06-17,West,Gamma,97,3880.0,Q2
2023-06-18,North,Delta,64,5760.0,Q2
2023-06-19,South,Epsilon,86,5160.0,Q2
2023-06-20,East,Alpha,18,900.0,Q2
2023-06-21,West,Beta,59,4130.0,Q2
2023-06-22,North,Gamma,58,2320.0,Q2
2023-06-23,South,Delta,86,7740.0,Q2
2023-06-24,East,Epsilon,69,4140.0,Q2
2023-06-25,West,Alpha,77,3850.0,Q2
2023-06-26,North,Beta,42,2940.0,Q2
2023-06-27,South,Gamma,80,3200.0,Q2
2023-06-28,East,Delta,120,10800.0,Q2
2023-06-29,West,Epsilon,11,660.0,Q2
2023-06-30,North,Alpha,97,4850.0,Q2
2023-07-01,South,Beta,102,7497.0,Q3
2023-07-02,East,Gamma,24,1008.0,Q3
2023-07-03,West,Delta,97,9166.5,Q3
2023-07-04,North,Epsilon,78,4914.0,Q3
2023-07-05,South,Alpha,106,5565.0,Q3
2023-07-06,East,Beta,44,3234.0,Q3
2023-07-07,West,Gamma,108,4536.0,Q3
2023-07-08,North,Delta,92,8694.0,Q3
2023-07-09,South,Epsilon,53,3339.0,Q3
2023-07-10,East,Alpha,24,1260.0,Q3
2023-07-11,West,Beta,47,3454.5,Q3
2023-07-12,North,Gamma,65,2730.0,Q3
2023-07-13,South,Delta,30,2835.0,Q3
2023-07-14,East,Epsilon,68,4284.0,Q3
2023-07-15,West,Alpha,10,525.0,Q3
2023-07-16,North,Beta,102,7497.0,Q3
2023-07-17,South,Gamma,102,4284.0,Q3
2023-07-18,East,Delta,43,4063.5,Q3
2023-07-19,West,Epsilon,74,4662.0,Q3
2023-07-20,North,Alpha,107,5617.5,Q3
2023-07-21,South,Beta,32,2352.0,Q3
2023-07-22,East,Gamma,74,3108.0,Q3
2023-07-23,West,Delta,23,2173.5,Q3
2023-07-24,North,Epsilon,90,5670.0,Q3
2023-07-25,South,Alpha,48,2520.0,Q3
2023-07-26,East,Beta,117,8599.5,Q3
2023-07-27,West,Gamma,91,3822.0,Q3
2023-07-28,North,Delta,74,6993.0,Q3
2023-07-29,South,Epsilon,87,5481.0,Q3
2023-07-30,East,Alpha,35,1837.5,Q3
2023-07-31,West,Beta,29,2131.5,Q3
2023-08-01,North,Gamma,57,2508.0,Q3
2023-08-02,South,Delta,107,10593.0,Q3
2023-08-03,East,Epsilon,30,1980.0,Q3
2023-08-04,West,Alpha,79,4345.0,Q3
2023-08-05,North,Beta,109,8393.0,Q3
2023-08-06,South,Gamma,77,3388.0,Q3
2023-08-07,East,Delta,10,990.0,Q3
2023-08-08,West,Epsilon,86,5676.0,Q3
2023-08-09,North,Alpha,51,2805.0,Q3
2023-08-10,South,Beta,72,5544.0,Q3
2023-08-11,East,Gamma,12,528.0,Q3
2023-08-12,West,Delta,24,2376.0,Q3
2023-08-13,North,Epsilon,56,3696.0,Q3
2023-08-14,South,Alpha,116,6380.0,Q3
2023-08-15,East,Beta,113,8701.0,Q3
2023-08-16,West,Gamma,49,2156.0,Q3
2023-08-17,North,Delta,40,3960.0,Q3
2023-08-18,South,Epsilon,17,1122.0,Q3
2023-08-19,East,Alpha,40,2200.0,Q3
2023-08-20,West,Beta,82,6314.0,Q3
2023-08-21,North,Gamma,20,880.0,Q3
2023-08-22,South,Delta,20,1980.0,Q3
2023-08-23,East,Epsilon,103,6798.0,Q3
2023-08-24,West,Alpha,72,3960.0,Q3
2023-08-25,North,Beta,114,8778.0,Q3
2023-08-26,South,Gamma,18,792.0,Q3
2023-08-27,East,Delta,107,10593.0,Q3
2023-08-28,West,Epsilon,78,5148.0,Q3
2023-08-29,North,Alpha,108,5940.0,Q3
2023-08-30,South,Beta,26,2002.0,Q3
2023-08-31,East,Gamma,26,1144.0,Q3
2023-09-01,West,Delta,94,8460.0,Q3
2023-09-02,North,Epsilon,70,4200.0,Q3
2023-09-03,South,Alpha,80,4000.0,Q3
2023-09-04,East,Beta,31,2170.0,Q3
2023-09-05,West,Gamma,43,1720.0,Q3
2023-09-06,North,Delta,77,6930.0,Q3
2023-09-07,South,Epsilon,87,5220.0,Q3
2023-09-08,East,Alpha,64,3200.0,Q3
2023-09-09,West,Beta,37,2590.0,Q3
2023-09-10,North,Gamma,79,3160.0,Q3
2023-09-11,South,Delta,106,9540.0,Q3
2023-09-12,East,Epsilon,103,6180.0,Q3
2023-09-13,West,Alpha,98,4900.0,Q3
2023-09-14,North,Beta,35,2450.0,Q3
2023-09-15,South,Gamma,101,4040.0,Q3
2023-09-16,East,Delta,49,4410.0,Q3
2023-09-17,West,Epsilon,61,3660.0,Q3
2023-09-18,North,Alpha,95,4750.0,Q3
2023-09-19,South,Beta,93,6510.0,Q3
2023-09-20,East,Gamma,57,2280.0,Q3
2023-09-21,West,Delta,66,5940.0,Q3
2023-09-22,North,Epsilon,76,4560.0,Q3
2023-09-23,South,Alpha,67,3350.0,Q3
2023-09-24,East,Beta,25,1750.0,Q3
2023-09-25,West,Gamma,41,1640.0,Q3
2023-09-26,North,Delta,38,3420.0,Q3
2023-09-27,South,Epsilon,18,1080.0,Q3
2023-09-28,East,Alpha,53,2650.0,Q3
2023-09-29,West,Beta,12,840.0,Q3
2023-09-30,North,Gamma,85,3400.0,Q3
2023-10-01,South,Delta,80,7560.0,Q4
2023-10-02,East,Epsilon,39,2457.0,Q4
2023-10-03,West,Alpha,85,4462.5,Q4
2023-10-04,North,Beta,38,2793.0,Q4
2023-10-05,South,Gamma,10,420.0,Q4
2023-10-06,East,Delta,19,1795.5,Q4
2023-10-07,West,Epsilon,100,6300.0,Q4
2023-10-08,North,Alpha,90,4725.0,Q4
2023-10-09,South,Beta,17,1249.5,Q4
2023-10-10,East,Gamma,39,1638.0,Q4
2023-10-11,West,Delta,18,1701.0,Q4
2023-10-12,North,Epsilon,14,882.0,Q4
2023-10-13,South,Alpha,120,6300.0,Q4
2023-10-14,East,Beta,52,3822.0,Q4
2023-10-15,West,Gamma,19,798.0,Q4
2023-10-16,North,Delta,75,7087.5,Q4
2023-10-17,South,Epsilon,40,2520.0,Q4
2023-10-18,East,Alpha,45,2362.5,Q4
2023-10-19,West,Beta,95,6982.5,Q4
2023-10-20,North,Gamma,72,3024.0,Q4
2023-10-21,South,Delta,37,3496.5,Q4
2023-10-22,East,Epsilon,79,4977.0,Q4
2023-10-23,West,Alpha,26,1365.0,Q4
2023-10-24,North,Beta,102,7497.0,Q4
2023-10-25,South,Gamma,83,3486.0,Q4
2023-10-26,East,Delta,83,7843.5,Q4
2023-10-27,West,Epsilon,70,4410.0,Q4
